document_id,source_id,tier,institution_id,institution_name,source_name,url,title,fetched_at,content_hash,cleaned_text_path,raw_html_path,status_code,status,change_status,error_message
DOC-REG-001-20260616125038,REG-001,Tier 1,garanti_bbva,Garanti BBVA,Garanti BBVA İşim İçin / KOBİ bankacılığı,https://www.garantibbva.com.tr/isim-icin,İşim İçin | Garanti BBVA,2026-06-16T12:50:38.356435+00:00,c6cda61a08c64fee2cd5b0ee6dae630e76f867aab2a5486b456d537e574adca4,data/raw_documents/cleaned_text/DOC-REG-001-20260616125038.txt,data/raw_documents/raw_html/DOC-REG-001-20260616125038.html,200.0,fetched,new_source,
DOC-REG-002-20260616125038,REG-002,Tier 1,garanti_bbva,Garanti BBVA,Garanti BBVA Kartlar & POS,https://www.garantibbva.com.tr/isim-icin/kartlar-pos,Kartlar/POS | Garanti BBVA,2026-06-16T12:50:38.586714+00:00,93f046fe627d00a53cc98e3c33bc882962294d55da34c305209850de44b0370c,data/raw_documents/cleaned_text/DOC-REG-002-20260616125038.txt,data/raw_documents/raw_html/DOC-REG-002-20260616125038.html,200.0,fetched,new_source,
DOC-REG-003-20260616125038,REG-003,Tier 1,garanti_bbva,Garanti BBVA,Garanti BBVA Kurumsal communication / press releases,https://www.garantibbva.com.tr/kurumsal-iletisim,Kurumsal İletişim | Garanti BBVA,2026-06-16T12:50:38.813111+00:00,59cf0b159c0d7ed94389f261056b3557b636cfa0a9ed18e60b993323eaead7f4,data/raw_documents/cleaned_text/DOC-REG-003-20260616125038.txt,data/raw_documents/raw_html/DOC-REG-003-20260616125038.html,200.0,fetched,new_source,
DOC-REG-003-20260624131426,REG-003,Tier 1,garanti_bbva,Garanti BBVA,Garanti BBVA Kurumsal communication / press releases,https://www.garantibbva.com.tr/kurumsal-iletisim,Kurumsal İletişim | Garanti BBVA,2026-06-24T13:14:26.408678+00:00,e47ca8ad4b0b0e90157214371f31e6f18717864916c7d12d4d8f45afdaf51ebb,data/raw_documents/cleaned_text/DOC-REG-003-20260624131426.txt,data/raw_documents/raw_html/DOC-REG-003-20260624131426.html,200.0,fetched,changed,
DOC-REG-003-20260624131838,REG-003,Tier 1,garanti_bbva,Garanti BBVA,Garanti BBVA Kurumsal communication / press releases,https://www.garantibbva.com.tr/kurumsal-iletisim,Kurumsal İletişim | Garanti BBVA,2026-06-24T13:18:38.937963+00:00,e47ca8ad4b0b0e90157214371f31e6f18717864916c7d12d4d8f45afdaf51ebb,data/raw_documents/cleaned_text/DOC-REG-003-20260624131838.txt,data/raw_documents/raw_html/DOC-REG-003-20260624131838.html,200.0,fetched,unchanged,
DOC-REG-003-20260624132113,REG-003,Tier 1,garanti_bbva,Garanti BBVA,Garanti BBVA Kurumsal communication / press releases,https://www.garantibbva.com.tr/kurumsal-iletisim,Kurumsal İletişim | Garanti BBVA,2026-06-24T13:21:13.034105+00:00,e47ca8ad4b0b0e90157214371f31e6f18717864916c7d12d4d8f45afdaf51ebb,data/raw_documents/cleaned_text/DOC-REG-003-20260624132113.txt,data/raw_documents/raw_html/DOC-REG-003-20260624132113.html,200.0,fetched,unchanged,
DOC-REG-003-20260624132223,REG-003,Tier 1,garanti_bbva,Garanti BBVA,Garanti BBVA Kurumsal communication / press releases,https://www.garantibbva.com.tr/kurumsal-iletisim,Kurumsal İletişim | Garanti BBVA,2026-06-24T13:22:23.747968+00:00,e47ca8ad4b0b0e90157214371f31e6f18717864916c7d12d4d8f45afdaf51ebb,data/raw_documents/cleaned_text/DOC-REG-003-20260624132223.txt,data/raw_documents/raw_html/DOC-REG-003-20260624132223.html,200.0,fetched,unchanged,
DOC-REG-003-20260624132430,REG-003,Tier 1,garanti_bbva,Garanti BBVA,Garanti BBVA Kurumsal communication / press releases,https://www.garantibbva.com.tr/kurumsal-iletisim,Kurumsal İletişim | Garanti BBVA,2026-06-24T13:24:30.760358+00:00,e47ca8ad4b0b0e90157214371f31e6f18717864916c7d12d4d8f45afdaf51ebb,data/raw_documents/cleaned_text/DOC-REG-003-20260624132430.txt,data/raw_documents/raw_html/DOC-REG-003-20260624132430.html,200.0,fetched,unchanged,
DOC-REG-003-20260629082719,REG-003,Tier 1,garanti_bbva,Garanti BBVA,Garanti BBVA Kurumsal communication / press releases,https://www.garantibbva.com.tr/kurumsal-iletisim,Kurumsal İletişim | Garanti BBVA,2026-06-29T08:27:19.843801+00:00,7c278def9edbd99570ce3e2b13831493caa1b4032541bd79405519f7c3838c4f,data/raw_documents/cleaned_text/DOC-REG-003-20260629082719.txt,data/raw_documents/raw_html/DOC-REG-003-20260629082719.html,200.0,fetched,changed,
DOC-REG-003-20260629083027,REG-003,Tier 1,garanti_bbva,Garanti BBVA,Garanti BBVA Kurumsal communication / press releases,https://www.garantibbva.com.tr/kurumsal-iletisim,Kurumsal İletişim | Garanti BBVA,2026-06-29T08:30:27.918836+00:00,7c278def9edbd99570ce3e2b13831493caa1b4032541bd79405519f7c3838c4f,data/raw_documents/cleaned_text/DOC-REG-003-20260629083027.txt,data/raw_documents/raw_html/DOC-REG-003-20260629083027.html,200.0,fetched,unchanged,
